Time Period,Category Name,Large Household Appliances,Small Household Appliances,IT and Telcomms Equipment,Consumer Equipment,Lighting Equipment,Electrical and Electronic Tools,Toys Leisure and Sports,Medical Devices,Monitoring and Control Instruments,Automatic Dispensers,Display Equipment,Cooling Appliances Containing Refrigerants,Gas Discharge Lamps and LED Light Sources,Photovoltaic Panels
Oct - Dec 2011,Household WEEE returned under regulation 43 (tonnes),"4,622.545",249.446,996.403,185.852,0.005,216.914,54.168,0.000,5.650,0.040,"2,985.609","3,921.164",3.141,
Oct - Dec 2011,Household WEEE returned under regulation 50 (tonnes),"7,159.195",897.542,851.133,"1,299.046",0.212,215.423,154.212,0.075,0.230,0.027,"3,247.979","4,845.575",40.406,
Jul - Sep 2011,"Household WEEE collected from a DCF 
(tonnes)","23,443.135","6,562.840","7,377.003","7,044.511",0.000,"3,526.432",418.520,0.000,6.569,0.000,"30,794.901","16,577.085",176.343,
Jul - Sep 2011,Household WEEE returned under regulation 43 (tonnes),"3,960.342",231.637,216.067,123.020,0.000,178.867,52.976,0.012,5.926,0.450,"1,557.943","3,562.143",6.636,
Jul - Sep 2011,Household WEEE returned under regulation 50 (tonnes),"7,097.439","1,603.571","1,115.319","1,428.525",0.000,605.044,313.029,2.037,0.179,0.124,"3,388.712","5,061.634",29.074,
Apr - Jun 2011,"Household WEEE collected from a DCF 
(tonnes)","23,668.266","6,582.420","7,171.126","7,040.933",0.000,"3,527.755",423.685,0.000,5.615,0.000,"29,793.057","15,770.435",176.687,
Apr - Jun 2011,Household WEEE returned under regulation 43 (tonnes),"4,109.487",256.745,889.180,313.528,0.000,262.468,252.833,0.000,7.636,0.000,"2,922.185","3,512.191",14.464,
Apr - Jun 2011,Household WEEE returned under regulation 50 (tonnes),"6,463.063","1,242.156",843.839,"1,206.558",0.000,383.563,277.831,0.654,0.754,0.030,"2,309.582","4,104.847",52.985,
Jan - Mar 2011,"Household WEEE collected from a DCF 
(tonnes)","27,073.695","6,432.539","7,370.638","7,263.661",0.000,"3,467.445",419.295,0.060,7.865,0.000,"33,408.650","16,940.247",197.104,
Jan - Mar 2011,Household WEEE returned under regulation 43 (tonnes),"4,902.152",341.503,"1,113.938",279.175,0.000,420.282,332.556,0.017,8.556,0.000,"2,401.871","3,741.051",2.266,
Jan - Mar 2011,Household WEEE returned under regulation 50 (tonnes),"7,474.032",838.022,549.266,826.950,0.000,146.964,123.109,0.831,0.177,0.105,"1,479.940","2,791.683",22.663,
Oct - Dec 2010,"Household WEEE collected from a DCF 
(tonnes)","21,547.161","4,219.006","5,837.685","5,166.490",0.000,"2,118.372",66.885,0.544,122.058,0.000,"25,439.600","15,025.624",143.812,
Oct - Dec 2010,Household WEEE returned under regulation 43 (tonnes),"10,442.747",627.849,751.279,"1,385.198",0.000,466.057,116.189,0.647,6.595,0.000,"3,719.261","7,915.069",11.892,
Oct - Dec 2010,Household WEEE returned under regulation 50 (tonnes),"31,989.908","4,846.855","6,588.964","6,551.688",0.000,"2,584.429",183.074,1.191,128.653,0.000,"29,158.861","22,940.693",155.704,
Jul - Sep 2010,"Household WEEE collected from a DCF 
(tonnes)","24,833.897","5,715.760","7,620.896","6,715.345",0.000,"2,843.030",87.485,8.054,164.382,0.000,"30,602.347","20,706.785",180.160,
Jul - Sep 2010,Household WEEE returned under regulation 43 (tonnes),"9,802.313",536.494,406.621,626.225,0.000,326.552,112.696,0.280,5.017,0.000,"2,104.472","6,111.738",13.736,
Jul - Sep 2010,Household WEEE returned under regulation 50 (tonnes),"34,636.210","6,252.254","8,027.517","7,341.570",0.000,"3,169.582",200.181,8.334,169.399,0.000,"32,706.819","26,818.523",193.896,
Apr - Jun 2010,"Household WEEE collected from a DCF 
(tonnes)","26,606.409","5,807.234","7,640.707","6,704.921",0.000,"2,881.081",91.977,0.173,164.284,0.000,"32,189.587","19,868.765",164.633,
Apr - Jun 2010,Household WEEE returned under regulation 43 (tonnes),"9,396.644",630.651,513.501,670.701,0.000,283.798,116.967,0.000,7.593,0.000,"2,820.537","4,670.423",34.624,
Apr - Jun 2010,Household WEEE returned under regulation 50 (tonnes),"36,003.053","6,437.885","8,154.208","7,375.622",0.000,"3,164.879",208.944,0.173,171.877,0.000,"35,010.124","24,539.188",199.257,
Jan - Mar 2010,"Household WEEE collected from a DCF 
(tonnes)","27,350.814","5,009.030","6,555.751","5,626.623",0.000,"2,399.110",96.903,0.007,136.999,0.000,"31,705.541","18,577.069",145.202,
Jan - Mar 2010,Household WEEE returned under regulation 43 (tonnes),"11,316.169",436.770,339.369,416.148,0.000,167.161,107.647,0.280,2.048,0.000,"1,682.609","4,682.845",8.726,
Jan - Mar 2010,Household WEEE returned under regulation 50 (tonnes),"38,666.983","5,445.800","6,895.120","6,042.771",0.000,"2,566.271",204.550,0.287,139.047,0.000,"33,388.150","23,259.914",153.928,
Oct - Dec 2009,"Household WEEE collected from a DCF 
(tonnes)","29,938.411","4,619.970","5,745.035","5,181.724",0.000,"2,257.375",96.528,0.000,129.508,0.000,"32,116.877","22,222.976",129.287,
Oct - Dec 2009,Household WEEE returned under regulation 43 (tonnes),"6,594.230",308.644,400.278,329.273,0.225,238.384,47.835,0.000,4.632,0.000,"1,839.985","3,516.377",22.545,
Oct - Dec 2009,Household WEEE returned under regulation 50 (tonnes),"36,532.641","4,928.614","6,145.313","5,510.997",0.225,"2,495.759",144.363,0.000,134.140,0.000,"33,956.862","25,739.353",151.832,
Jul - Sep 2009,"Household WEEE collected from a DCF 
(tonnes)","29,688.383","5,197.945","6,307.478","5,979.480",0.000,"2,603.586",100.114,1.069,150.586,0.000,"28,966.376","24,408.992",139.888,
Jul - Sep 2009,Household WEEE returned under regulation 43 (tonnes),"5,413.158",278.887,253.925,170.894,0.983,180.418,66.109,0.000,2.511,0.000,819.947,"3,142.108",5.357,
Jul - Sep 2009,Household WEEE returned under regulation 50 (tonnes),"35,101.541","5,476.832","6,561.403","6,150.374",0.983,"2,784.004",166.223,1.069,153.097,0.000,"29,786.323","27,551.100",145.245,
Apr - Jun 2009,"Household WEEE collected from a DCF 
(tonnes)","29,419.273","5,306.780","5,915.550","6,000.031",0.000,"2,671.504",90.896,0.168,154.420,0.018,"28,723.870","23,976.467",146.609,
Apr - Jun 2009,Household WEEE returned under regulation 43 (tonnes),"5,295.675",403.671,297.176,252.594,0.000,265.608,52.064,0.000,8.222,0.000,407.699,"2,351.382",1.773,
Apr - Jun 2009,Household WEEE returned under regulation 50 (tonnes),"34,714.948","5,710.451","6,212.726","6,252.625",0.000,"2,937.112",142.960,0.168,162.642,0.018,"29,131.569","26,327.849",148.382,
Jan - Mar 2009,"Household WEEE collected from a DCF 
(tonnes)","30,864.817","4,713.368","5,382.292","5,378.829",0.046,"2,335.458",83.954,0.054,144.006,0.000,"28,472.590","24,124.386",138.218,
Jan - Mar 2009,Household WEEE returned under regulation 43 (tonnes),"7,304.330",346.920,251.636,179.552,0.000,193.498,78.930,0.000,4.255,0.000,438.443,"2,485.155",2.075,
Jan - Mar 2009,Household WEEE returned under regulation 50 (tonnes),"38,169.147","5,060.288","5,633.928","5,558.381",0.046,"2,528.956",162.884,0.054,148.261,0.000,"28,911.033","26,609.541",140.293,
Oct - Dec 2008,"Household WEEE collected from a DCF 
(tonnes)","26,809.657","3,832.357","4,464.390","4,377.195",0.000,"1,979.221",68.796,0.000,123.674,0.005,"24,940.959","24,421.831",138.116,
Oct - Dec 2008,Household WEEE returned under regulation 43 (tonnes),"5,267.614",238.011,213.303,140.526,0.350,"1,038.772",79.372,65.209,1.551,0.000,519.617,"2,999.334",242.479,
Oct - Dec 2008,Household WEEE returned under regulation 50 (tonnes),"32,077.271","4,070.368","4,677.693","4,517.721",0.350,"3,017.993",148.168,65.209,125.225,0.005,"25,460.576","27,421.165",380.595,
Jul - Sep 2008,"Household WEEE collected from a DCF 
(tonnes)","26,282.016","4,012.073","4,678.409","4,632.517",0.060,"2,073.093",60.278,0.000,129.347,0.000,"23,524.566","26,351.234",124.640,
Jul - Sep 2008,Household WEEE returned under regulation 43 (tonnes),"5,296.244",167.539,261.835,70.943,0.000,115.992,66.594,0.000,5.862,0.000,229.725,"2,322.386",180.758,
Jul - Sep 2008,Household WEEE returned under regulation 50 (tonnes),"31,578.260","4,179.612","4,940.244","4,703.460",0.060,"2,189.085",126.872,0.000,135.209,0.000,"23,754.291","28,673.620",305.398,
Apr - Jun 2008,"Household WEEE collected from a DCF 
(tonnes)","31,211.644","4,611.727","5,083.780","5,138.171",0.000,"2,238.765",65.296,0.000,127.332,0.000,"25,746.344","26,908.733",132.325,
Apr - Jun 2008,Household WEEE returned under regulation 43 (tonnes),"4,872.338",224.534,117.245,57.671,0.000,136.455,73.618,0.200,1.529,0.000,134.178,"2,077.148",191.516,
Apr - Jun 2008,Household WEEE returned under regulation 50 (tonnes),"36,083.982","4,836.261","5,201.025","5,195.842",0.000,"2,375.220",138.914,0.200,128.861,0.000,"25,880.522","28,985.881",323.841,
Jan - Mar 2008,"Household WEEE collected from a DCF 
(tonnes)","27,023.438","3,802.773","4,068.425","4,451.425",0.047,"1,746.232",52.289,0.000,114.504,0.000,"26,312.440","25,280.830",122.148,
Jan - Mar 2008,Household WEEE returned under regulation 43 (tonnes),"6,252.601",149.828,165.523,56.673,0.000,158.530,72.264,0.000,1.283,0.000,158.944,"2,409.930",139.408,
Jan - Mar 2008,Household WEEE returned under regulation 50 (tonnes),"33,276.039","3,952.601","4,233.948","4,508.098",0.047,"1,904.762",124.553,0.000,115.787,0.000,"26,471.384","27,690.760",261.556,
Oct - Dec 2007,"Household WEEE collected from a DCF 
(tonnes)","26,009.682","3,698.912","3,357.061","3,652.524",0.009,"1,423.563",39.743,0.000,91.608,0.000,"23,950.209","27,676.021",171.915,
Oct - Dec 2007,Household WEEE returned under regulation 43 (tonnes),"6,212.943",84.801,260.729,25.936,0.338,397.577,51.864,1.760,0.400,0.000,158.774,"2,330.206",40.212,
Oct - Dec 2007,Household WEEE returned under regulation 50 (tonnes),"32,222.625","3,783.713","3,617.790","3,678.460",0.347,"1,821.140",91.607,1.760,92.008,0.000,"24,108.983","30,006.227",212.127,
Jul - Sep 2007,"Household WEEE collected from a DCF 
(tonnes)","23,595.617","2,724.539","2,757.308","2,607.015",16.250,"1,134.205",31.742,0.000,72.767,0.000,"19,830.268","26,148.410",88.611,
Jul - Sep 2007,Household WEEE returned under regulation 43 (tonnes),"4,576.476",5.407,17.592,18.440,0.000,499.588,50.997,0.000,1.100,0.000,109.762,"2,107.994",6.100,
Jul - Sep 2007,Household WEEE returned under regulation 50 (tonnes),"28,172.093","2,729.946","2,774.900","2,625.455",16.250,"1,633.793",82.739,0.000,73.867,0.000,"19,940.030","28,256.404",94.711,
